Site,Col_Company,Col_Recuit,Col_detail,Col_url
Saramin,NH농협은행(주),NH농협은행 데이터사업부 데이터분석지원 일반계약직 직원 채용,"['서울 중구', '경력무관', '학력무관', '계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51801428&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,NH농협은행(주),NH농협은행 전문계약직(데이터 분석) 채용공고,"['서울 중구', '경력무관', '학력무관', '계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51812330&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,에이치에스효성첨단소재(주),2025년 하반기 HS효성그룹 신입공채(IT기술_생산데이터분석),"['서울전체', '신입', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51794686&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,피엠인터내셔널코리아(유),데이터 분석/데이터 관리/영업/영업 분석/전략 기획/경영 기획,"['서울 영등포구', '신입·경력', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51647418&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)심네트,"데이터 분석(국방분야) 전문 분석관 모집(IT, 데이터 분석)","['서울 용산구', '신입·경력', '대졸↑', '정규직·계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51607226&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)미리디,[미리디] 데이터 분석가,"['서울 구로구', '신입·경력', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51640322&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)그립컴퍼니,[그립컴퍼니] 데이터 분석 및 대시보드 운영 담당자(계약직/1년),"['경기 성남시 분당구', '경력무관', '학력무관', '계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51775271&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)카카오뱅크,데이터 분석가 (계약직),"['경기 성남시 분당구', '경력1년↑', '학력무관', '계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51779444&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,세이브더칠드런코리아,세이브더칠드런 마케팅혁신팀 데이터 분석 담당자 모집,"['서울 마포구', '경력 1~5년', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51584377&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)투믹스,[BI팀] 데이터 분석가 채용(경력/3년 이상),"['서울 강남구', '경력 3~5년', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51719031&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)한국정보통계,[통계팀] 데이터 분석가(사회조사분석사),"['전북 전주시 완산구', '경력무관', '초대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51741153&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
